match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelLost,bigChanceCreated,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialWon,outfielderBlock,lastManTackle,dispossessed,totalContest,wonContest,penaltyWon,challengeLost,shotOffTarget,shotValueNormalized,onTargetScoringAttempt,errorLeadToAShot,blockedScoringAttempt,goals,bigChanceMissed,totalOffside,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
14015442,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,31.0,26.0,7.0,3.0,0.0,26.0,28.0,3.0,1.0,3.0,9.0,1.0,2.0,2.0,3.0,1.0,90.0,46.0,7.2,5.0,0.4614,"{'original': 7.2, 'alternative': 7.1}",0,0.03,0.0,-0.03,0.4,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,83.87096774193549,42.857142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015442,home,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,29.0,25.0,2.0,1.0,0.0,19.0,21.0,8.0,6.0,4.0,5.0,1.0,,,,,90.0,55.0,7.2,8.0,,"{'original': 7.2, 'alternative': 7.6}",0,0.18,0.09,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,6,1,86.20689655172413,50.0,100.0,,,6.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14015442,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,60.0,47.0,9.0,1.0,0.0,37.0,39.0,21.0,6.0,6.0,4.0,,,,,,90.0,71.0,7.0,13.0,,"{'original': 7, 'alternative': 7.1}",0,0.19,0.1,0.57,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,2,0,78.33333333333333,11.11111111111111,,,,10.0,,,,,,1.0,2.0,1.0,,,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
14015442,home,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,False,70.0,56.0,16.0,6.0,0.0,36.0,41.0,29.0,5.0,5.0,1.0,,,,,,90.0,85.0,7.0,20.0,,"{'original': 7, 'alternative': 7}",0,0.35,0.01,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,7,1,0,1,80.0,37.5,14.285714285714285,,,20.0,7.0,1.0,2.0,3.0,1.0,2.0,,,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,
14015442,home,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,60.0,53.0,6.0,3.0,0.0,33.0,36.0,24.0,11.0,6.0,3.0,2.0,,,,,90.0,85.0,7.6,9.0,,"{'original': 7.6, 'alternative': 7.5}",0,0.2,0.19,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,6,2,88.33333333333333,50.0,,100.0,,20.0,,,,2.0,,,3.0,3.0,1.0,1.0,,5.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14015442,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,22.0,18.0,,,0.0,16.0,17.0,5.0,3.0,,1.0,2.0,,,,,90.0,34.0,6.9,10.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.03,0.14,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,81.81818181818183,,,,,2.0,1.0,,1.0,4.0,,1.0,1.0,,3.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
14015442,home,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,False,29.0,22.0,6.0,3.0,0.0,16.0,20.0,9.0,5.0,,4.0,1.0,,,,,70.0,36.0,6.8,8.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.14,0.03,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,75.86206896551724,50.0,,100.0,,6.0,,,1.0,3.0,,1.0,1.0,,1.0,2.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
14015442,home,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,16.0,12.0,1.0,,0.0,5.0,7.0,9.0,8.0,,4.0,1.0,,,,,60.0,46.0,7.1,14.0,,"{'original': 7.1, 'alternative': 7.1}",1,0.21,0.17,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,8,5,75.0,,,50.0,,7.0,,,1.0,6.0,,1.0,5.0,4.0,8.0,1.0,1.0,,,,,4.0,2.0,,2.0,1.0,-0.16,,,,,,,,,,
14015442,home,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,False,27.0,23.0,2.0,1.0,0.0,11.0,11.0,16.0,4.0,,5.0,2.0,,,,,86.0,41.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.9}",2,-0.03,0.29,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,85.18518518518519,50.0,,,,12.0,1.0,,1.0,3.0,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,1.0,1.0,-0.33,1.0,1.0,,,,,,,,
14015442,home,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,30.0,23.0,1.0,,0.0,6.0,8.0,22.0,5.0,1.0,2.0,4.0,,,,,86.0,52.0,8.0,13.0,,"{'original': 8, 'alternative': 7.9}",4,0.51,0.15,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,76.66666666666667,,33.33333333333333,,,17.0,3.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,1.0,,,,2.0,0.3,1.0,,1.0,1.0,,,,,,
