match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,outfielderBlock,fouls,totalCross,accurateCross,dispossessed,shotOffTarget,onTargetScoringAttempt,keyPass,shotValueNormalized,blockedScoringAttempt,totalOffside,errorLeadToAShot
14015409,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,37.0,32.0,10.0,6.0,0.0,32.0,34.0,3.0,10.0,1.0,1.0,2.0,1.0,1.0,90.0,45.0,6.9,5.0,0.2278,"{'original': 6.9, 'alternative': 7.2}",0,0.02,-0.1,0.21,0.26,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,86.48648648648648,60.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14015409,home,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,False,78.0,68.0,7.0,2.0,0.0,41.0,44.0,34.0,6.0,,,,,,90.0,99.0,7.3,11.0,,"{'original': 7.3, 'alternative': 7.5}",0,-0.04,0.15,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,6,1,87.17948717948718,28.57142857142857,,100.0,,27.0,3.0,3.0,4.0,9.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,
14015409,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,105.0,90.0,13.0,6.0,0.0,67.0,70.0,35.0,4.0,,,,,,90.0,117.0,7.2,15.0,,"{'original': 7.2, 'alternative': 7.6}",0,0.13,0.17,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,85.71428571428571,46.15384615384615,,,,23.0,1.0,2.0,3.0,4.0,,,,3.0,4.0,,,,2.0,1.0,2.0,,,,,,,,,,
14015409,home,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,False,96.0,88.0,12.0,5.0,0.0,71.0,73.0,23.0,2.0,,,,,,90.0,105.0,7.2,10.0,,"{'original': 7.2, 'alternative': 7}",0,0.26,0.1,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,91.66666666666666,41.66666666666667,,,,17.0,,1.0,3.0,3.0,1.0,,,1.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,
14015409,home,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,84.0,81.0,6.0,5.0,0.0,48.0,49.0,35.0,4.0,,,,,,90.0,108.0,7.8,7.0,,"{'original': 7.8, 'alternative': 8.1}",2,0.31,0.26,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,5,2,96.42857142857143,83.33333333333334,50.0,100.0,,33.0,1.0,3.0,3.0,8.0,,1.0,1.0,2.0,1.0,4.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,-0.37,,,
14015409,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,47.0,40.0,1.0,1.0,0.0,24.0,26.0,21.0,8.0,,,,,,90.0,60.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.9}",1,0.02,0.23,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,85.1063829787234,100.0,,100.0,,16.0,2.0,1.0,5.0,4.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,3.0,1.0,,,,1.0,,-0.04,,,
14015409,home,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,False,50.0,41.0,6.0,3.0,0.0,22.0,24.0,26.0,1.0,,,,,,90.0,60.0,6.9,11.0,,"{'original': 6.9, 'alternative': 6.6}",1,0.02,0.29,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,4,3,82.0,50.0,,,,19.0,2.0,1.0,5.0,5.0,,1.0,,2.0,,4.0,2.0,,,,1.0,,,1.0,,,,-0.08,1.0,,
14015409,home,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,False,21.0,15.0,,,0.0,5.0,7.0,14.0,2.0,,,,,,57.0,30.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.13,0.17,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,71.42857142857143,,,33.33333333333333,,10.0,3.0,2.0,6.0,4.0,1.0,3.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,
14015409,home,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,False,17.0,14.0,,,0.0,6.0,6.0,11.0,3.0,,,,,,57.0,34.0,6.8,9.0,,"{'original': 6.8, 'alternative': 7.5}",3,-0.13,0.05,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,5,3,82.35294117647058,,,50.0,,8.0,2.0,,5.0,5.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,3.0,,1.0,3.0,,,1.0,2.0,2.0,0.02,,,
14015409,home,282203,FK Železničar Pančevo,1479042,Đorđe Glavinić,dorde-glavinic,F,24,False,8.0,4.0,,,0.0,1.0,4.0,4.0,1.0,,,,,,58.0,16.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.5}",2,-0.11,0.01,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,2,0,50.0,,,,,3.0,2.0,3.0,2.0,5.0,,,,,,,,1.0,2.0,,,,,,2.0,,,-0.32,,1.0,
14015409,home,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,False,7.0,5.0,1.0,,0.0,2.0,2.0,5.0,1.0,,,,,,45.0,19.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.8}",2,-0.26,0.43,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,71.42857142857143,,33.33333333333333,50.0,,3.0,,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,1.0,,,,3.0,1.0,,1.0,,,-0.48,1.0,,
14015409,home,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,True,25.0,24.0,3.0,3.0,0.0,9.0,9.0,16.0,4.0,,,,,,45.0,46.0,7.0,11.0,,"{'original': 7, 'alternative': 7}",0,0.07,0.13,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,6,6,96.0,100.0,16.666666666666664,60.0,,15.0,1.0,,7.0,6.0,2.0,5.0,3.0,1.0,,1.0,1.0,1.0,2.0,,,6.0,1.0,2.0,,,1.0,,,,
14015409,home,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,F,13,True,8.0,4.0,,,0.0,1.0,1.0,7.0,3.0,,,,,,33.0,15.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.22,0.13,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,50.0,,,,,3.0,,,4.0,1.0,2.0,1.0,,,,1.0,1.0,2.0,,,,1.0,,1.0,,,1.0,,,,
14015409,home,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,10.0,8.0,1.0,,0.0,2.0,2.0,8.0,2.0,,,,,,33.0,16.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.17,0.18,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,80.0,,,,,6.0,1.0,,3.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,,2.0,,,1.0,,,,
14015409,home,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,True,9.0,8.0,,,0.0,1.0,1.0,8.0,,,,,,,32.0,20.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.6}",1,-0.15,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,88.88888888888889,,,50.0,,7.0,1.0,,4.0,1.0,,2.0,1.0,,,,,2.0,,,,,,2.0,1.0,,,-0.32,,,
14015409,home,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015409,home,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015409,home,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015409,home,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015409,home,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015409,home,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
