match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,lastManTackle,outfielderBlock,accurateCross,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,shotValueNormalized,totalOffside,bigChanceCreated,bigChanceMissed
14015496,home,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,9.0,7.0,,,0.0,3.0,3.0,4.0,6.0,9.0,4.0,,2.0,,,,,,,69.0,24.0,7.2,4.0,,"{'original': 7.2, 'alternative': 7.2}",1,-0.11,0.1,0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,9,4,4,0,77.77777777777779,,,,,,4.0,5.0,4.0,,,2.0,1.0,2.0,2.0,,,1.0,,,,,,1.0,,,-0.13,2.0,,
14015496,home,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,True,12.0,9.0,,,0.0,3.0,3.0,6.0,9.0,2.0,1.0,,,,,,,,,27.0,25.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.9}",2,0.05,0.14,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,75.0,,,66.66666666666666,,2.0,1.0,,4.0,,1.0,,,1.0,1.0,,,,,1.0,3.0,2.0,,2.0,,,-0.04,,,
14015496,home,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,9.0,8.0,2.0,1.0,0.0,2.0,2.0,6.0,7.0,5.0,,3.0,1.0,,,,,,,21.0,19.0,6.7,5.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.05,-0.36,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,88.88888888888889,50.0,,50.0,,,,1.0,4.0,,1.0,2.0,1.0,1.0,2.0,,,,,2.0,2.0,1.0,,,,,,,,
14015496,home,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,True,6.0,3.0,,,0.0,,2.0,3.0,4.0,3.0,1.0,1.0,1.0,,,,,,,21.0,12.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.22,0.26,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,50.0,,,50.0,,,2.0,1.0,3.0,,,,,,,,,,,,2.0,1.0,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,True,5.0,4.0,,,0.0,1.0,1.0,3.0,4.0,1.0,,4.0,1.0,,,,,,,21.0,9.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.04,0.18,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,80.0,,,,,,1.0,,2.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,True,1.0,1.0,,,0.0,1.0,1.0,,,2.0,2.0,,,,,,,,,10.0,5.0,6.7,,,"{'original': 6.7, 'alternative': 6.6}",0,0.0,,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,100.0,,,,,,,2.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,home,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,home,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,2063215,Leon Borković,leon-borkovic,G,53,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,home,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,away,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,33.0,22.0,20.0,11.0,0.0,19.0,25.0,3.0,8.0,,,8.0,,1.0,1.0,3.0,,1.0,1.0,90.0,41.0,6.7,12.0,0.0957,"{'original': 6.7, 'alternative': 7}",0,0.05,-0.01,-0.12,-0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,55.00000000000001,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,away,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,36.0,28.0,7.0,4.0,0.0,14.0,16.0,14.0,20.0,2.0,1.0,1.0,,,,,,,,90.0,54.0,6.6,15.0,,"{'original': 6.6, 'alternative': 6.8}",0,0.25,0.02,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,77.77777777777779,57.14285714285714,,,,3.0,,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,
14015496,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,46.0,40.0,8.0,4.0,0.0,30.0,32.0,10.0,14.0,4.0,5.0,3.0,,,,,,,,90.0,59.0,6.8,7.0,,"{'original': 6.8, 'alternative': 7}",1,0.08,0.03,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,86.95652173913044,50.0,100.0,,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,-0.09,,,
14015496,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,55.0,43.0,10.0,6.0,0.0,26.0,29.0,17.0,26.0,7.0,8.0,2.0,,,,,,,,90.0,72.0,6.8,13.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.1,0.03,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,4,2,78.18181818181819,60.0,,100.0,,,3.0,3.0,5.0,,1.0,2.0,1.0,1.0,2.0,,,,,,2.0,2.0,,,,,,,,
14015496,away,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,False,9.0,6.0,,,0.0,3.0,4.0,3.0,5.0,3.0,1.0,2.0,3.0,,,,,,,68.0,20.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.02,0.12,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,66.66666666666666,,,,,4.0,,,2.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,
14015496,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,24.0,15.0,3.0,1.0,0.0,4.0,5.0,11.0,19.0,4.0,2.0,1.0,,,,,,,,68.0,33.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.11,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,62.5,33.33333333333333,,,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,
14015496,away,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,42.0,33.0,5.0,2.0,0.0,19.0,21.0,14.0,21.0,5.0,1.0,6.0,2.0,,,,,,,90.0,68.0,6.3,23.0,,"{'original': 6.3, 'alternative': 6.9}",3,-0.31,0.28,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,4,3,78.57142857142857,40.0,,,,11.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,2.0,,-0.18,,,
14015496,away,3403,FK Čukarički,926607,Nemanja Tošić,nemanja-tosic,M,6,False,38.0,31.0,4.0,1.0,0.0,14.0,15.0,17.0,23.0,3.0,2.0,5.0,,,,,,,,90.0,52.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.16,0.05,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,81.57894736842105,25.0,,,,2.0,1.0,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14015496,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,F,22,False,22.0,17.0,4.0,2.0,0.0,7.0,8.0,10.0,14.0,3.0,,5.0,1.0,,,,,,,68.0,29.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.8}",0,-0.04,0.06,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,77.27272727272727,50.0,,50.0,,2.0,,1.0,2.0,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,
14015496,away,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,12.0,7.0,,,0.0,5.0,6.0,2.0,6.0,11.0,,1.0,3.0,,,,,,,90.0,21.0,6.7,6.0,,"{'original': 6.7, 'alternative': 7.1}",2,-0.08,0.1,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,16,8,4,4,58.333333333333336,,,,,,9.0,7.0,13.0,,,1.0,1.0,1.0,4.0,1.0,,,,,,,,1.0,1.0,,0.16,3.0,,1.0
14015496,away,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,False,10.0,9.0,,,0.0,2.0,3.0,7.0,7.0,4.0,,3.0,2.0,,,,,,,68.0,23.0,6.2,8.0,,"{'original': 6.2, 'alternative': 6.6}",2,-0.06,0.09,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,3,3,90.0,,,,,2.0,4.0,1.0,7.0,,,1.0,1.0,2.0,2.0,,,,,1.0,1.0,,,,2.0,,-0.02,1.0,,
14015496,away,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,F,88,True,7.0,7.0,2.0,2.0,0.0,4.0,4.0,3.0,3.0,3.0,,2.0,1.0,,,,,,,22.0,15.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.6}",2,0.07,0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,100.0,100.0,,25.0,,,,1.0,5.0,,,,,,2.0,,,,,,4.0,1.0,2.0,,,,-0.21,1.0,,1.0
14015496,away,5148,FK Čukarički,1595518,Veljko Radosavljević,veljko-radosavljevic,M,86,True,1.0,,,,0.0,,,,1.0,,,1.0,,,,,,,,13.0,2.0,6.4,2.0,,"{'original': 6.4, 'alternative': 6.3}",0,-0.01,-0.05,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,
14015496,away,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,True,15.0,9.0,3.0,1.0,0.0,8.0,8.0,1.0,7.0,3.0,1.0,2.0,,,,,,,,22.0,19.0,6.9,7.0,,"{'original': 6.9, 'alternative': 6.9}",0,-0.06,0.08,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,60.0,33.33333333333333,,,,,,1.0,1.0,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,
14015496,away,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,F,90,True,3.0,2.0,,,0.0,,,2.0,3.0,2.0,,,1.0,,,,,,,22.0,8.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.6}",0,-0.03,0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,66.66666666666666,,,100.0,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,
14015496,away,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,True,2.0,,1.0,,0.0,,,0.0,2.0,,,,,,,,,,,9.0,6.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.1,,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,,,100.0,,,1.0,1.0,,3.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,
14015496,away,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,away,5148,FK Čukarički,1149291,Matija Marsenić,matija-marsenic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,away,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,away,5148,FK Čukarički,1515308,Godswill Vadze,godswill-vadze,F,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,away,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,away,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
