match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialWon,onTargetScoringAttempt,blockedScoringAttempt,fouls,shotValueNormalized,accurateCross,totalContest,wonContest,bigChanceCreated,keyPass,bigChanceMissed,shotOffTarget,totalOffside,goals,penaltyWon,penaltyConceded,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,punches,outfielderBlock
14015570,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,14.0,10.0,,,0.0,3.0,3.0,7.0,11.0,,3.0,,,,86.0,24.0,7.0,9.0,29.679265030502,3.0,-3.2987109979975,0.0,,"{'original': 7, 'alternative': 7.3}",1,-0.11,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,71.42857142857143,,,,,,,,1.0,3.0,3.0,,1.0,,,,3.0,3.0,1.0,,,,-0.32,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,
14015570,home,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,True,46.0,38.0,4.0,2.0,0.0,22.0,22.0,16.0,24.0,2.0,3.0,,,,36.0,49.0,7.1,9.0,187.84545996206,20.0,96.486536990764,2.0,,"{'original': 7.1, 'alternative': 6.8}",0,0.13,0.15,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,82.6086956521739,50.0,,,,18.675124673067,42.737409830999,1.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
14015570,home,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,7.0,6.0,,,0.0,1.0,1.0,5.0,6.0,,,,,,10.0,9.0,6.4,2.0,36.404723595256,4.0,27.737319667908,0.0,,"{'original': 6.4, 'alternative': 6.6}",0,-0.1,0.04,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,home,25736,FK Novi Pazar,1133676,Vieiri Kotzebue,vieri-kotzebue,F,9,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,4.0,1.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
14015570,home,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,home,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,home,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,home,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,home,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,home,418770,FK Novi Pazar,1981820,Ersan Mavric,ersan-mavric,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,home,25736,FK Novi Pazar,2287918,Hamad Sacirovic,hamad-sacirovic,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,1166185,Marin Dulić,marin-dulic,G,12,False,28.0,9.0,27.0,8.0,0.0,4.0,6.0,5.0,22.0,3.0,10.0,4.0,1.0,1.0,90.0,37.0,6.2,19.0,19.132163873593,3.0,1.8588837559756,0.0,0.2494,"{'original': 6.2, 'alternative': 7.2}",0,0.08,0.1,-0.51,0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,32.142857142857146,29.629629629629626,,,100.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,
14015570,away,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,D,22,False,2.0,,,,0.0,,1.0,,1.0,1.0,,,,,45.0,14.0,5.9,6.0,4.7138774909834,1.0,-2.2163055188546,0.0,,"{'original': 5.9, 'alternative': 6.2}",0,-0.02,0.0,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,,,,,,,,,,4.0,2.0,1.0,,,1.0,,2.0,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,D,2,False,24.0,16.0,5.0,,0.0,14.0,18.0,2.0,6.0,2.0,4.0,,,,90.0,39.0,6.1,10.0,29.672124259229,6.0,2.8876077417211,0.0,,"{'original': 6.1, 'alternative': 6.6}",0,0.0,0.03,-0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,66.66666666666666,,,100.0,,,,,1.0,4.0,5.0,,1.0,5.0,3.0,2.0,1.0,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,D,5,False,34.0,29.0,5.0,1.0,0.0,20.0,23.0,9.0,11.0,7.0,7.0,,,,90.0,48.0,6.3,6.0,97.70533138953,11.0,18.094182654999,0.0,,"{'original': 6.3, 'alternative': 6.3}",0,0.15,0.03,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,85.29411764705883,20.0,,,,,,,1.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,27.0,20.0,4.0,1.0,0.0,15.0,15.0,5.0,12.0,4.0,3.0,,,,90.0,39.0,6.5,7.0,67.713031798243,7.0,10.824163229798,1.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.07,0.03,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,74.07407407407408,25.0,,,,20.416045644155,25.227396536306,,1.0,2.0,5.0,,,,2.0,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0
14015570,away,36967,FK Spartak Subotica,606608,Cajú,caju,D,13,False,24.0,19.0,3.0,2.0,0.0,7.0,7.0,12.0,17.0,2.0,3.0,,,,83.0,43.0,6.5,15.0,85.599258461119,7.0,50.651056368418,1.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.33,0.07,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,79.16666666666666,66.66666666666666,,100.0,,28.35801846769,32.224568267085,1.0,,,2.0,,,1.0,,,3.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,315190,Filip Holender,filip-holender,M,7,False,6.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,,,,,,45.0,7.0,6.7,3.0,54.919118786341,4.0,37.287300471365,2.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.17,0.18,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,66.66666666666666,100.0,,,,27.044071232886,43.923938408598,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,948694,Nikola Kuveljić,nikola-kuveljic,M,33,False,30.0,20.0,5.0,2.0,0.0,12.0,17.0,8.0,13.0,3.0,6.0,,,,90.0,52.0,8.0,16.0,89.632610392617,8.0,43.68820134938,2.0,,"{'original': 8, 'alternative': 7.5}",1,-0.15,0.21,0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,5,4,66.66666666666666,40.0,,100.0,,23.751037859446,52.17477971636,,2.0,6.0,7.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,,,0.54,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0
14015570,away,36967,FK Spartak Subotica,1063790,Brian Ramírez,brian-ramirez,M,99,False,25.0,15.0,5.0,,0.0,8.0,12.0,7.0,13.0,1.0,9.0,,,,90.0,41.0,6.5,11.0,49.714220665344,6.0,-0.16252398267937,0.0,,"{'original': 6.5, 'alternative': 6.3}",0,0.01,0.07,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,60.0,,,100.0,,,,,,2.0,6.0,1.0,1.0,,4.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0
14015570,away,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,M,20,False,13.0,9.0,3.0,1.0,1.0,5.0,7.0,4.0,6.0,,3.0,,,,78.0,20.0,6.3,7.0,44.237722730804,5.0,-5.9280786603654,1.0,,"{'original': 6.3, 'alternative': 6.5}",1,0.17,0.12,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,69.23076923076923,33.33333333333333,,,,10.7540007811,11.078870023608,,,4.0,,,1.0,,,,2.0,,,,,3.0,0.01,,,,,1.0,,1.0,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,905454,Lincoln,lincoln,F,9,False,14.0,12.0,,,0.0,4.0,5.0,8.0,9.0,1.0,2.0,,,,69.0,36.0,7.3,16.0,46.038323953919,6.0,30.594750351291,1.0,,"{'original': 7.3, 'alternative': 6.9}",2,-0.09,0.28,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,2,7,85.71428571428571,,,25.0,,21.022567161647,22.225432481731,,3.0,10.0,4.0,1.0,2.0,,,,9.0,1.0,2.0,2.0,,1.0,0.5,,4.0,1.0,,,,,,1.0,,,,,,,
14015570,away,36967,FK Spartak Subotica,997194,Ilija Babić,ilija-babic,F,21,True,12.0,8.0,2.0,1.0,0.0,5.0,8.0,3.0,4.0,3.0,2.0,,,,45.0,31.0,6.8,7.0,140.56719085002,7.0,101.37522289749,2.0,,"{'original': 6.8, 'alternative': 6.8}",1,-0.08,0.27,0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,66.66666666666666,50.0,,50.0,,39.281712819875,64.016058276241,1.0,,2.0,3.0,,,1.0,1.0,,1.0,1.0,,,,1.0,-0.31,,2.0,1.0,,,,1.0,,,,,,,,,1.0
14015570,away,36967,FK Spartak Subotica,1981794,Aleksa Trajković,aleksa-trajkovic,M,17,True,15.0,6.0,3.0,,0.0,3.0,5.0,3.0,10.0,1.0,2.0,,,,45.0,29.0,6.1,14.0,40.941268711742,6.0,24.542924078424,0.0,,"{'original': 6.1, 'alternative': 6.5}",0,-0.35,0.07,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,40.0,,,,,,,,4.0,8.0,3.0,3.0,1.0,2.0,2.0,,4.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,1186164,Dario Pavković,dario-pavkovic,F,90,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,1.0,,,,21.0,6.0,6.3,5.0,29.753428913181,2.0,-9.6482072467195,0.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.09,0.07,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,50.0,,,,,,,,2.0,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,890060,Ezequiel,ezequiel,F,10,True,,,,,0.0,,,,,1.0,,,,,12.0,2.0,6.5,,,,,,,"{'original': 6.5, 'alternative': 6.7}",0,,,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,1093730,Nemanja Krsmanović,nemanja-krsmanovic,D,49,True,,,,,0.0,,,,,,,,,,13.0,3.0,6.7,2.0,,,,,,"{'original': 6.7, 'alternative': 6.6}",0,,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,1893331,Dimitrije Minić,dimitrije-minic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,1030841,Leonardo Antonio,leonardo-antonio,M,27,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,2189184,Kudu Shama Abdul,kudu-shama-abdul,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015570,away,36967,FK Spartak Subotica,1518929,Nikola Tasić,nikola-tasic,M,50,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
