match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,totalContest,wonContest,shotOffTarget,hitWoodwork,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalOffside,shotValueNormalized,aerialWon,challengeLost,wasFouled,aerialLost,bigChanceCreated,keyPass,blockedScoringAttempt,dispossessed,penaltyWon,bigChanceMissed,onTargetScoringAttempt,penaltyMiss,goals,penaltyConceded,penaltySave,punches,totalKeeperSweeper,accurateKeeperSweeper
14015460,home,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,18.0,15.0,,,0.0,7.0,7.0,8.0,11.0,,,,,,87.0,31.0,7.8,10.0,,"{'original': 7.8, 'alternative': 7.4}",1,-0.16,0.27,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,83.33333333333334,,,100.0,,,,4.0,3.0,1.0,1.0,,,,,,,,6.0,1.0,1.0,0.51,1.0,,1.0,2.0,,2.0,,1.0,,,1.0,,1.0,,,,,
14015460,home,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,True,8.0,7.0,1.0,1.0,0.0,2.0,2.0,5.0,6.0,,,,,,31.0,18.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.7}",2,0.31,0.03,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,87.5,100.0,60.0,,,5.0,3.0,4.0,,1.0,,1.0,,,,,,,,1.0,,-0.48,,2.0,,,,3.0,,,,2.0,1.0,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,9.0,7.0,,,0.0,4.0,5.0,3.0,4.0,1.0,,,,,18.0,13.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.6}",2,0.1,0.06,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,77.77777777777779,,,,,,,3.0,1.0,,,1.0,,,,,,,1.0,,,-0.1,,,1.0,3.0,,,1.0,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,True,12.0,12.0,,,0.0,3.0,3.0,9.0,9.0,2.0,,,,,17.0,18.0,6.1,2.0,,"{'original': 6.1, 'alternative': 6}",0,0.13,0.04,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,,,,1.0,,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,,
14015460,home,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,,11.0,3.0,6.4,2.0,,"{'original': 6.4, 'alternative': 6.5}",0,-0.06,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,50.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,home,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,home,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,39.0,14.0,32.0,7.0,0.0,9.0,11.0,5.0,28.0,12.0,1.0,4.0,1.0,4.0,90.0,50.0,7.6,25.0,0.7432,"{'original': 7.6, 'alternative': 7.3}",0,0.19,0.0,0.28,0.56,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,35.8974358974359,21.875,,,100.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
14015460,away,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,21.0,17.0,4.0,2.0,0.0,12.0,13.0,5.0,8.0,,,,,,80.0,40.0,6.7,7.0,,"{'original': 6.7, 'alternative': 7.1}",1,0.35,0.21,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,80.95238095238095,50.0,100.0,50.0,,1.0,1.0,3.0,3.0,2.0,1.0,,,3.0,,2.0,,,1.0,,,-0.25,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,
14015460,away,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,34.0,27.0,6.0,2.0,0.0,22.0,24.0,5.0,10.0,1.0,,,,,90.0,45.0,6.9,7.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.09,0.04,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,4,1,79.41176470588235,33.33333333333333,,100.0,,,,2.0,6.0,1.0,1.0,,,5.0,,1.0,2.0,,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,
14015460,away,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,29.0,27.0,6.0,5.0,0.0,20.0,21.0,7.0,8.0,,,,,,90.0,45.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.13,0.12,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,93.10344827586206,83.33333333333334,,100.0,,,,4.0,5.0,1.0,1.0,,,10.0,,1.0,1.0,,1.0,2.0,,,3.0,,,1.0,,,,1.0,,,,,,,,,,
14015460,away,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,31.0,26.0,2.0,,0.0,16.0,20.0,10.0,11.0,6.0,,,,,79.0,46.0,5.8,8.0,,"{'original': 5.8, 'alternative': 6.2}",0,-0.1,0.15,-0.53,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,83.87096774193549,,,,,1.0,,4.0,1.0,,,,,3.0,1.0,,,,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,
14015460,away,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,False,31.0,23.0,4.0,2.0,0.0,9.0,12.0,14.0,19.0,5.0,,,,,90.0,45.0,7.2,9.0,,"{'original': 7.2, 'alternative': 7.1}",0,0.23,0.24,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,74.19354838709677,50.0,,100.0,,1.0,,2.0,4.0,2.0,2.0,,,4.0,,,,,,1.0,,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,
14015460,away,5153,OFK Beograd,1982018,Issiaka Dembele,issiaka-dembele,M,25,False,8.0,5.0,2.0,,0.0,2.0,3.0,3.0,5.0,4.0,,,,,79.0,22.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.8}",0,-0.06,0.16,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,7,3,62.5,,,,,,,3.0,7.0,,,,,1.0,1.0,1.0,5.0,3.0,,,,,,2.0,2.0,,,,,1.0,,,,,,,,,,
14015460,away,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,18.0,15.0,1.0,1.0,0.0,4.0,5.0,11.0,13.0,3.0,,,,,90.0,40.0,7.0,12.0,,"{'original': 7, 'alternative': 7.7}",2,-0.44,0.6,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,7,2,83.33333333333334,100.0,,75.0,,4.0,,5.0,7.0,4.0,3.0,1.0,,2.0,,,,,3.0,,,-0.56,,,4.0,3.0,,1.0,,1.0,,1.0,1.0,,,,,,,
14015460,away,5153,OFK Beograd,1153956,Jovan Šljivić,jovan-sljivic,M,20,False,18.0,13.0,3.0,2.0,0.0,5.0,5.0,8.0,13.0,3.0,,,,,89.0,38.0,6.2,17.0,,"{'original': 6.2, 'alternative': 6.7}",1,-0.44,0.0,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,4,8,72.22222222222221,66.66666666666666,,50.0,,2.0,,8.0,6.0,6.0,3.0,,,1.0,,1.0,,,4.0,2.0,,0.07,2.0,2.0,1.0,,,,,1.0,,,1.0,,,,,,,
14015460,away,5153,OFK Beograd,1068813,Egor Prutsev,egor-prutsev,M,11,False,12.0,11.0,1.0,1.0,1.0,4.0,4.0,7.0,8.0,2.0,,,,,90.0,31.0,7.2,8.0,,"{'original': 7.2, 'alternative': 7.1}",1,0.43,0.3,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,91.66666666666666,100.0,33.33333333333333,60.0,,3.0,1.0,6.0,7.0,5.0,3.0,,,,,1.0,1.0,,1.0,1.0,1.0,-0.24,,,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
14015460,away,5149,OFK Beograd,1937553,Jay Enem,tyron-enem-jay-ifeanyi-junior,F,22,False,10.0,10.0,,,0.0,5.0,5.0,5.0,5.0,1.0,,,,,79.0,21.0,8.7,3.0,,"{'original': 8.7, 'alternative': 8.2}",3,-0.01,0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,100.0,,,,,,,4.0,4.0,1.0,,1.0,,,,,,,1.0,,1.0,0.91,1.0,,3.0,2.0,,,,1.0,,,2.0,,2.0,,,,,
14015460,away,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,,,,,11.0,7.0,7.0,1.0,,"{'original': 7, 'alternative': 7}",0,0.0,0.0,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,,,,2.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
14015460,away,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,True,4.0,2.0,1.0,1.0,0.0,,2.0,2.0,2.0,2.0,,,,,11.0,10.0,7.4,2.0,,"{'original': 7.4, 'alternative': 7.5}",1,0.08,-0.53,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,50.0,100.0,,,,,,,2.0,,,,,2.0,,,2.0,1.0,,,,0.32,,,,,,,,,,,1.0,,1.0,,,,,
14015460,away,324661,OFK Beograd,77512,Stefan Šćepović,stefan-scepovic,F,12,True,6.0,5.0,,,0.0,3.0,4.0,2.0,2.0,1.0,,,,,11.0,7.0,7.0,1.0,,"{'original': 7, 'alternative': 7}",0,-0.04,0.07,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,83.33333333333334,,,,,,,3.0,1.0,,,,,,,,,,,,1.0,,,,1.0,3.0,,,,,1.0,,,,,,,,,
14015460,away,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,,,,,10.0,6.0,6.7,,,"{'original': 6.7, 'alternative': 6.7}",0,0.01,,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,100.0,,,,,,,2.0,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
14015460,away,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,True,2.0,2.0,,,0.0,,,2.0,2.0,1.0,,,,,1.0,3.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,away,5153,OFK Beograd,94538,Saša Marković,sasa-markovic,M,10,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,away,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,F,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,away,5153,OFK Beograd,939791,Nedeljko Stojišić,nedeljko-stojisic,G,97,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,away,47321,OFK Beograd,1544616,Hugo Alba,hugo-alba,F,9,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,away,6079,OFK Beograd,1465579,Mihajlo Petrović,mihajlo-petrovic,M,13,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,away,5153,OFK Beograd,1939189,Mamadou Fall,moustapha-fall,D,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
