match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,shotOffTarget,bigChanceMissed,hitWoodwork,bigChanceCreated,penaltyWon,blockedScoringAttempt
14147316,home,36019,FK Bokelj Kotor,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,1,False,45.0,41.0,19.0,16.0,0.0,29.0,31.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,90.0,51.0,7.0,6.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,91.11111111111111,84.21052631578947,,,0.0,,,,,,,,
14147316,home,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,43.0,31.0,7.0,2.0,0.0,15.0,18.0,16.0,24.0,2.0,1.0,2.0,1.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,49.0,6.6,16.0,0.0,0.25,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,1,6,72.09302325581395,28.57142857142857,50.0,,,1.0,,,,,,,
14147316,home,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,False,44.0,37.0,3.0,1.0,0.0,30.0,33.0,6.0,9.0,0.0,0.0,3.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,12.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,58.0,6.8,9.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,6,4,84.0909090909091,33.33333333333333,,,,,,,,,,,
14147316,home,7581,FK Bokelj Kotor,94246,Igor Ćuković,igor-cukovic,D,26,False,64.0,60.0,11.0,8.0,0.0,36.0,36.0,20.0,24.0,0.0,0.0,3.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,81.0,7.3,11.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,3,2,93.75,72.72727272727273,,,,,,,,,,,
14147316,home,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,48.0,41.0,6.0,4.0,0.0,18.0,19.0,23.0,29.0,5.0,4.0,3.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,60.0,6.6,11.0,0.01,0.05,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,85.41666666666666,66.66666666666666,80.0,,,2.0,1.0,1.0,,,,,
14147316,home,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,34.0,31.0,8.0,6.0,0.0,15.0,15.0,16.0,19.0,0.0,0.0,3.0,3.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,11.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,,,,,,,68.0,41.0,6.9,6.0,0.0,0.04,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,4,4,91.17647058823529,75.0,,100.0,,1.0,,,,,,,
14147316,home,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,46.0,43.0,3.0,3.0,0.0,27.0,29.0,16.0,17.0,1.0,0.0,3.0,3.0,16.0,7.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,11.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,,90.0,64.0,7.1,3.0,0.11,0.01,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,6,17,4,13,93.47826086956522,100.0,0.0,75.0,,1.0,,1.0,,,,,
14147316,home,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,23.0,17.0,4.0,3.0,0.0,8.0,8.0,9.0,15.0,4.0,1.0,4.0,2.0,17.0,8.0,1.0,5.0,4.0,2.0,0.0,2.0,0.0,,6.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,79.0,43.0,7.0,12.0,0.47,0.0,"{'original': 7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,6,19,6,13,73.91304347826086,75.0,25.0,80.0,,,,1.0,1.0,1.0,,,
14147316,home,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,False,32.0,21.0,6.0,5.0,0.0,3.0,6.0,18.0,26.0,4.0,1.0,1.0,0.0,11.0,8.0,1.0,5.0,4.0,2.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,,,,,,,90.0,60.0,7.8,12.0,0.3,0.43,"{'original': 7.8, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,1,18,8,10,65.625,83.33333333333334,25.0,80.0,,2.0,2.0,2.0,,,1.0,,
14147316,home,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,False,19.0,10.0,1.0,1.0,0.0,1.0,4.0,9.0,15.0,8.0,1.0,0.0,1.0,7.0,8.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,79.0,42.0,7.3,16.0,0.64,0.0,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,7,7,52.63157894736842,100.0,12.5,100.0,,,3.0,1.0,,,,,
