match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,outfielderBlock,fouls,totalContest,wasFouled,wonContest,dispossessed,accurateCross,shotOffTarget,shotValueNormalized,bigChanceMissed,onTargetScoringAttempt,goals,blockedScoringAttempt,totalOffside,hitWoodwork,errorLeadToAGoal,errorLeadToAShot
14015488,home,5149,FK Crvena zvezda,21927,Marko Arnautović,marko-arnautovic,F,89,False,33.0,24.0,3.0,1.0,1.0,3.0,3.0,21.0,30.0,,4.0,,,,,,60.0,37.0,9.2,11.0,,"{'original': 9.2, 'alternative': 8.7}",1,0.69,0.51,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,72.72727272727273,33.33333333333333,,,,,,,2.0,,,2.0,1.0,,,,3.0,,,1.0,,,1.0,,,0.51,,1.0,1.0,,1.0,,,
14015488,home,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,True,26.0,25.0,,,0.0,9.0,9.0,16.0,17.0,,1.0,,,,,,45.0,31.0,6.8,2.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.37,0.04,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,96.15384615384616,,,100.0,,,1.0,,2.0,3.0,,,,1.0,1.0,1.0,,,2.0,2.0,,2.0,,,,,,,,,,,,
14015488,home,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,16.0,10.0,2.0,,1.0,2.0,6.0,8.0,10.0,,3.0,,,,,,45.0,26.0,7.3,9.0,,"{'original': 7.3, 'alternative': 7.9}",1,0.27,0.26,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,1,5,62.5,,,100.0,,,,,5.0,1.0,4.0,1.0,2.0,,,2.0,1.0,1.0,,1.0,,1.0,1.0,,,0.32,,1.0,1.0,,,,,
14015488,home,5149,FK Crvena zvezda,878830,Bruno Duarte,bruno-duarte,F,17,True,5.0,3.0,,,0.0,1.0,1.0,2.0,4.0,1.0,,,,,,,30.0,12.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.6}",2,-0.09,0.18,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,60.0,,,,,,1.0,,3.0,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,-0.58,2.0,1.0,,,1.0,,,
14015488,home,5149,FK Crvena zvezda,939721,Milson,milson,M,7,True,19.0,15.0,2.0,2.0,0.0,2.0,3.0,13.0,16.0,1.0,6.0,,,,,,30.0,31.0,7.0,9.0,,"{'original': 7, 'alternative': 7}",3,0.2,0.64,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,78.94736842105263,100.0,,50.0,,2.0,,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,-0.52,,,,2.0,,1.0,,
14015488,home,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,True,15.0,14.0,2.0,1.0,0.0,9.0,9.0,5.0,6.0,3.0,1.0,,,,,,24.0,20.0,6.3,1.0,,"{'original': 6.3, 'alternative': 6.7}",2,0.09,0.04,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,93.33333333333333,50.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,2.0,-0.57,,,,,,,,
14015488,home,5149,FK Crvena zvezda,1019641,Ivan Guteša,ivan-gutesa,G,77,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,home,3398,FK Crvena zvezda,289181,Peter Olayinka,peter-olayinka,F,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,home,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,home,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,home,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,home,5149,FK Crvena zvezda,2207346,Aleksa Damjanović,damjanovic-aleksa,F,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,away,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,17.0,11.0,9.0,4.0,0.0,10.0,16.0,1.0,1.0,1.0,7.0,3.0,4.0,1.0,,,90.0,29.0,5.6,6.0,0.6267,"{'original': 5.6, 'alternative': 6.2}",0,-0.08,-0.01,-0.59,-0.97,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,64.70588235294117,44.44444444444444,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015488,away,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,46.0,34.0,6.0,1.0,0.0,15.0,18.0,19.0,28.0,1.0,5.0,,,,,,90.0,66.0,5.1,18.0,,"{'original': 5.1, 'alternative': 5.7}",0,-0.2,-0.22,-1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,73.91304347826086,16.666666666666664,,60.0,,2.0,1.0,,5.0,4.0,1.0,,,,,1.0,,1.0,1.0,5.0,1.0,3.0,,,,,,,,,,,1.0,
14015488,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,False,40.0,35.0,8.0,5.0,0.0,24.0,24.0,11.0,16.0,6.0,5.0,,,,,,90.0,52.0,5.7,5.0,,"{'original': 5.7, 'alternative': 6.3}",0,0.05,0.06,-0.87,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,87.5,62.5,,100.0,,,,,,1.0,,,3.0,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,
14015488,away,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,40.0,37.0,5.0,3.0,0.0,27.0,30.0,10.0,10.0,3.0,3.0,,,,,,90.0,47.0,5.6,3.0,,"{'original': 5.6, 'alternative': 5.9}",0,0.15,0.08,-1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,92.5,60.0,,100.0,,,,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,
14015488,away,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,False,36.0,30.0,3.0,1.0,0.0,18.0,20.0,12.0,16.0,3.0,5.0,,,,,,90.0,56.0,6.1,10.0,,"{'original': 6.1, 'alternative': 6.2}",0,0.06,0.05,-0.67,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,5,1,83.33333333333334,33.33333333333333,,100.0,,,,,1.0,5.0,1.0,,2.0,4.0,3.0,2.0,2.0,,,1.0,,1.0,,,,,,,,,,,,
14015488,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,35.0,31.0,1.0,,0.0,13.0,13.0,18.0,22.0,1.0,11.0,,,,,,90.0,52.0,6.0,11.0,,"{'original': 6, 'alternative': 6.3}",1,-0.05,0.33,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,88.57142857142857,,14.285714285714285,100.0,,7.0,,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,-0.03,,,,1.0,,,,
14015488,away,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,False,15.0,6.0,1.0,,0.0,2.0,6.0,4.0,9.0,,1.0,,,,,,45.0,24.0,6.1,13.0,,"{'original': 6.1, 'alternative': 6.2}",1,-0.24,0.1,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,40.0,,100.0,,,1.0,1.0,1.0,3.0,2.0,1.0,,,1.0,1.0,3.0,,,,,,,1.0,1.0,,0.03,,,,1.0,,,,
14015488,away,241802,FK IMT Beograd,797763,Olivier Thill,olivier-thill,M,18,False,35.0,31.0,4.0,2.0,0.0,14.0,16.0,17.0,19.0,,6.0,,,,,,70.0,55.0,6.8,10.0,,"{'original': 6.8, 'alternative': 6.8}",3,0.13,0.17,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,9,4,88.57142857142857,50.0,,50.0,,1.0,,,4.0,9.0,2.0,,,7.0,4.0,3.0,,,,2.0,1.0,1.0,1.0,,2.0,-0.17,,,,1.0,,,,1.0
14015488,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,27.0,22.0,3.0,2.0,0.0,10.0,10.0,12.0,17.0,1.0,3.0,,,,,,85.0,42.0,5.9,12.0,,"{'original': 5.9, 'alternative': 6.2}",0,-0.22,0.22,-0.51,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,2,10,81.48148148148148,66.66666666666666,,,,,1.0,1.0,11.0,3.0,4.0,1.0,,1.0,1.0,3.0,2.0,,2.0,1.0,1.0,,3.0,,,,,,,,,,,
14015488,away,1210144,FK IMT Beograd,2319703,Aleksa Mitić,aleksa-mitic,M,21,False,11.0,10.0,,,0.0,5.0,5.0,5.0,6.0,1.0,,,,,,,90.0,20.0,7.3,4.0,,"{'original': 7.3, 'alternative': 6.8}",1,0.06,0.07,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,90.9090909090909,,,,,,,,1.0,,,,,,,2.0,,,,,,,1.0,,,0.53,,1.0,1.0,,,,,
14015488,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,False,17.0,13.0,1.0,1.0,0.0,8.0,9.0,5.0,8.0,1.0,2.0,,,,,,45.0,24.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.07,0.06,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,76.47058823529412,100.0,,,,,1.0,1.0,2.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
14015488,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,12.0,12.0,,,1.0,3.0,3.0,9.0,9.0,,3.0,,,,,,44.0,25.0,6.8,6.0,,"{'original': 6.8, 'alternative': 7.1}",1,0.25,-0.39,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,50.0,,1.0,,,1.0,1.0,,,1.0,,,4.0,2.0,1.0,,2.0,,1.0,,,,0.01,,1.0,,,,,,1.0
14015488,away,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,True,17.0,13.0,,,0.0,6.0,8.0,7.0,9.0,,,,,,,,45.0,26.0,6.4,7.0,,"{'original': 6.4, 'alternative': 6.7}",2,-0.58,0.48,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,76.47058823529412,,,100.0,,2.0,,,,3.0,,,,,,,,,,3.0,,3.0,,,,-0.38,1.0,1.0,,1.0,,,,
14015488,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,11.0,9.0,,,0.0,3.0,5.0,6.0,6.0,,2.0,,,,,,20.0,17.0,6.5,5.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.14,0.12,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,81.81818181818183,,,,,,2.0,,3.0,2.0,,,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,
14015488,away,308176,FK IMT Beograd,1837599,Luka Krstović,luka-krstovic,M,23,True,2.0,1.0,,,0.0,1.0,2.0,,,,,,,,,,5.0,3.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,50.0,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
14015488,away,246604,FK IMT Beograd,1595696,Stefan Baltic,stefan-baltic,F,29,True,,,,,0.0,,,,,,,,,,,,1.0,1.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,away,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,away,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,away,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,F,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015488,away,229348,FK IMT Beograd,1393501,Lazar Konstantinov,lazar-konstantinov,D,3,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
